time_step,clock_time,agent_id,agent_name,urgency_level,urgency_score,nearest_fire,nearest_smoke
0,08:00,0,Isabella Rodriguez,medium,0.25,6.2,6.6
0,08:00,1,Klaus Mueller,high,0.5,2.7,1.6
1,08:00,0,Isabella Rodriguez,medium,0.25,6.2,4.9
1,08:00,1,Klaus Mueller,critical,0.85,1.7,1.6
2,08:01,0,Isabella Rodriguez,medium,0.25,6.3,4.9
2,08:01,1,Klaus Mueller,critical,0.85,1.7,0.8
3,08:02,0,Isabella Rodriguez,medium,0.25,5.5,4.2
3,08:02,1,Klaus Mueller,critical,0.85,1.7,0.8
4,08:02,0,Isabella Rodriguez,medium,0.3,5.5,4.1
4,08:02,1,Klaus Mueller,critical,0.85,1.7,0.8
5,08:03,0,Isabella Rodriguez,medium,0.3,5.5,4.1
5,08:03,1,Klaus Mueller,critical,0.85,1.7,0.8
6,08:04,0,Isabella Rodriguez,medium,0.3,5.5,4.1
6,08:04,1,Klaus Mueller,critical,0.85,1.7,0.8
7,08:04,0,Isabella Rodriguez,high,0.45,4.9,4.1
7,08:04,1,Klaus Mueller,critical,0.85,1.7,0.8
8,08:05,0,Isabella Rodriguez,high,0.45,4.9,4.1
8,08:05,1,Klaus Mueller,critical,0.85,1.7,0.8
9,08:06,0,Isabella Rodriguez,high,0.45,4.9,4.1
9,08:06,1,Klaus Mueller,critical,0.85,1.8,0.9
10,08:06,0,Isabella Rodriguez,medium,0.3,5.1,4.2
10,08:06,1,Klaus Mueller,critical,0.85,1.9,0.3
11,08:07,0,Isabella Rodriguez,medium,0.3,5.2,3.6
11,08:07,1,Klaus Mueller,critical,0.85,2.0,0.3
12,08:08,0,Isabella Rodriguez,medium,0.3,5.2,3.6
12,08:08,1,Klaus Mueller,critical,1.0,1.4,0.3
13,08:08,0,Isabella Rodriguez,medium,0.3,5.4,3.7
13,08:08,1,Klaus Mueller,critical,1.0,1.6,0.4
14,08:09,0,Isabella Rodriguez,medium,0.3,5.5,3.9
14,08:09,1,Klaus Mueller,critical,1.0,1.7,0.5
15,08:10,0,Isabella Rodriguez,medium,0.3,5.6,4.0
15,08:10,1,Klaus Mueller,critical,1.0,1.9,0.6
16,08:10,1,Klaus Mueller,critical,0.85,2.0,0.7
17,08:11,1,Klaus Mueller,critical,0.85,2.2,0.8
18,08:12,1,Klaus Mueller,critical,0.85,2.3,0.8
19,08:12,1,Klaus Mueller,critical,1.0,1.8,0.9
20,08:13,1,Klaus Mueller,critical,1.0,1.9,0.6
21,08:14,1,Klaus Mueller,critical,0.85,2.1,0.7
22,08:14,1,Klaus Mueller,critical,0.85,2.2,0.8
23,08:15,1,Klaus Mueller,critical,0.85,2.4,0.8
24,08:16,1,Klaus Mueller,critical,0.85,2.3,0.8
25,08:16,1,Klaus Mueller,critical,0.85,2.2,0.8
26,08:17,1,Klaus Mueller,critical,0.85,2.2,0.8
27,08:18,1,Klaus Mueller,critical,0.85,2.2,0.8
28,08:18,1,Klaus Mueller,critical,0.85,2.2,0.8
29,08:19,1,Klaus Mueller,critical,1.0,1.6,0.8
30,08:20,1,Klaus Mueller,critical,1.0,1.6,0.8
31,08:20,1,Klaus Mueller,critical,1.0,1.3,0.7
32,08:21,1,Klaus Mueller,critical,1.0,0.3,0.7
