time_step,clock_time,agent_id,agent_name,urgency_level,urgency_score,nearest_fire,nearest_smoke
0,08:00,0,Isabella Rodriguez,low,0.15,5.2,inf
0,08:00,1,Klaus Mueller,low,0.15,6.6,inf
1,08:00,0,Isabella Rodriguez,low,0.2,5.3,inf
1,08:00,1,Klaus Mueller,low,0.15,6.6,inf
2,08:01,0,Isabella Rodriguez,low,0.2,5.4,inf
2,08:01,1,Klaus Mueller,low,0.15,6.7,inf
3,08:02,0,Isabella Rodriguez,low,0.2,5.5,inf
3,08:02,1,Klaus Mueller,low,0.15,6.8,inf
4,08:02,0,Isabella Rodriguez,low,0.2,5.6,inf
4,08:02,1,Klaus Mueller,low,0.15,6.9,inf
5,08:03,0,Isabella Rodriguez,low,0.2,5.8,inf
5,08:03,1,Klaus Mueller,low,0.15,7.0,inf
6,08:04,0,Isabella Rodriguez,low,0.2,5.9,inf
6,08:04,1,Klaus Mueller,low,0.15,7.1,inf
7,08:04,0,Isabella Rodriguez,low,0.2,6.0,inf
7,08:04,1,Klaus Mueller,low,0.15,7.2,inf
8,08:05,0,Isabella Rodriguez,low,0.2,6.1,inf
8,08:05,1,Klaus Mueller,low,0.15,7.2,inf
9,08:06,0,Isabella Rodriguez,low,0.2,6.3,inf
9,08:06,1,Klaus Mueller,low,0.15,7.3,inf
10,08:06,0,Isabella Rodriguez,low,0.2,6.4,inf
10,08:06,1,Klaus Mueller,low,0.15,7.3,inf
11,08:07,0,Isabella Rodriguez,low,0.2,6.5,inf
11,08:07,1,Klaus Mueller,low,0.15,7.4,inf
12,08:08,0,Isabella Rodriguez,low,0.2,6.5,inf
12,08:08,1,Klaus Mueller,low,0.15,7.5,inf
13,08:08,0,Isabella Rodriguez,low,0.2,6.7,inf
13,08:08,1,Klaus Mueller,low,0.15,7.6,inf
14,08:09,0,Isabella Rodriguez,low,0.2,6.8,inf
14,08:09,1,Klaus Mueller,low,0.15,7.7,inf
15,08:10,0,Isabella Rodriguez,low,0.2,7.0,inf
15,08:10,1,Klaus Mueller,low,0.15,7.8,inf
16,08:10,0,Isabella Rodriguez,low,0.2,7.1,inf
16,08:10,1,Klaus Mueller,low,0.15,7.8,inf
17,08:11,0,Isabella Rodriguez,low,0.2,7.3,inf
17,08:11,1,Klaus Mueller,low,0.15,7.9,inf
18,08:12,0,Isabella Rodriguez,low,0.2,7.4,inf
18,08:12,1,Klaus Mueller,low,0.15,8.0,inf
19,08:12,0,Isabella Rodriguez,low,0.2,7.6,inf
19,08:12,1,Klaus Mueller,low,0.15,8.1,inf
20,08:13,0,Isabella Rodriguez,low,0.2,7.7,inf
20,08:13,1,Klaus Mueller,low,0.15,8.2,inf
21,08:14,0,Isabella Rodriguez,low,0.2,7.9,inf
21,08:14,1,Klaus Mueller,low,0.15,8.3,inf
22,08:14,0,Isabella Rodriguez,medium,0.3,6.7,7.0
22,08:14,1,Klaus Mueller,medium,0.25,7.3,7.7
23,08:15,0,Isabella Rodriguez,medium,0.3,6.8,7.1
23,08:15,1,Klaus Mueller,medium,0.25,7.4,7.7
24,08:16,0,Isabella Rodriguez,medium,0.3,7.0,7.2
24,08:16,1,Klaus Mueller,medium,0.25,7.4,7.8
25,08:16,0,Isabella Rodriguez,medium,0.3,7.1,7.4
25,08:16,1,Klaus Mueller,medium,0.25,7.5,7.9
26,08:17,0,Isabella Rodriguez,medium,0.3,7.3,7.5
26,08:17,1,Klaus Mueller,medium,0.25,7.6,7.9
27,08:18,0,Isabella Rodriguez,medium,0.3,7.4,7.6
27,08:18,1,Klaus Mueller,medium,0.25,7.7,8.0
28,08:18,0,Isabella Rodriguez,medium,0.3,7.5,7.8
28,08:18,1,Klaus Mueller,low,0.15,7.8,8.1
29,08:19,0,Isabella Rodriguez,medium,0.3,7.7,7.9
29,08:19,1,Klaus Mueller,low,0.15,7.9,8.1
30,08:20,0,Isabella Rodriguez,low,0.2,7.8,8.0
30,08:20,1,Klaus Mueller,low,0.15,7.9,8.2
31,08:20,0,Isabella Rodriguez,low,0.2,8.0,8.2
31,08:20,1,Klaus Mueller,low,0.15,8.0,8.3
32,08:21,0,Isabella Rodriguez,low,0.2,8.1,8.3
32,08:21,1,Klaus Mueller,low,0.15,8.1,8.4
33,08:22,0,Isabella Rodriguez,low,0.2,8.2,8.4
33,08:22,1,Klaus Mueller,low,0.15,8.2,8.4
34,08:22,0,Isabella Rodriguez,low,0.2,8.2,8.4
34,08:22,1,Klaus Mueller,low,0.15,8.3,8.5
35,08:23,0,Isabella Rodriguez,low,0.2,8.4,8.5
35,08:23,1,Klaus Mueller,low,0.15,8.4,8.6
36,08:24,0,Isabella Rodriguez,low,0.2,8.5,8.7
36,08:24,1,Klaus Mueller,low,0.15,8.5,8.7
37,08:24,0,Isabella Rodriguez,low,0.2,8.6,8.8
37,08:24,1,Klaus Mueller,low,0.15,8.5,8.7
38,08:25,0,Isabella Rodriguez,low,0.2,8.7,8.9
38,08:25,1,Klaus Mueller,low,0.15,8.6,8.8
39,08:26,0,Isabella Rodriguez,low,0.2,8.9,9.0
39,08:26,1,Klaus Mueller,low,0.15,8.8,8.9
40,08:26,1,Klaus Mueller,low,0.15,8.9,9.0
