time_step,clock_time,agent_id,agent_name,urgency_level,urgency_score,nearest_fire,nearest_smoke
0,08:00,0,Isabella Rodriguez,medium,0.4,3.6,3.1
0,08:00,1,Klaus Mueller,high,0.5,2.4,1.2
1,08:00,0,Isabella Rodriguez,high,0.55,3.3,2.3
1,08:00,1,Klaus Mueller,high,0.65,2.5,1.3
2,08:01,0,Isabella Rodriguez,high,0.55,2.2,2.2
2,08:01,1,Klaus Mueller,critical,0.85,2.6,1.5
3,08:02,0,Isabella Rodriguez,critical,1.0,1.4,1.2
3,08:02,1,Klaus Mueller,critical,1.0,1.4,1.6
4,08:02,0,Isabella Rodriguez,critical,1.0,1.4,0.3
4,08:02,1,Klaus Mueller,critical,1.0,1.4,0.5
5,08:03,0,Isabella Rodriguez,critical,1.0,1.4,0.3
5,08:03,1,Klaus Mueller,critical,1.0,0.7,0.6
6,08:04,0,Isabella Rodriguez,critical,1.0,0.9,0.3
