time_step,clock_time,agent_id,agent_name,urgency_level,urgency_score,nearest_fire,nearest_smoke
0,08:00,0,Isabella Rodriguez,medium,0.25,6.7,7.0
0,08:00,1,Klaus Mueller,high,0.5,3.9,2.7
1,08:00,0,Isabella Rodriguez,medium,0.25,6.7,5.3
1,08:00,1,Klaus Mueller,high,0.65,3.9,2.7
2,08:01,0,Isabella Rodriguez,medium,0.25,6.8,5.4
2,08:01,1,Klaus Mueller,high,0.65,3.8,2.7
3,08:02,0,Isabella Rodriguez,medium,0.25,6.9,5.0
3,08:02,1,Klaus Mueller,high,0.65,3.7,2.7
4,08:02,0,Isabella Rodriguez,medium,0.25,6.1,5.1
4,08:02,1,Klaus Mueller,critical,0.85,2.9,2.8
5,08:03,0,Isabella Rodriguez,medium,0.25,6.1,4.9
5,08:03,1,Klaus Mueller,critical,0.85,2.9,1.6
6,08:04,0,Isabella Rodriguez,medium,0.25,6.0,4.9
6,08:04,1,Klaus Mueller,critical,0.85,2.9,1.6
7,08:04,0,Isabella Rodriguez,medium,0.25,6.0,4.9
7,08:04,1,Klaus Mueller,critical,0.85,3.0,1.7
8,08:05,0,Isabella Rodriguez,medium,0.3,6.0,4.9
8,08:05,1,Klaus Mueller,critical,0.85,3.0,1.8
9,08:06,0,Isabella Rodriguez,medium,0.3,6.0,4.4
9,08:06,1,Klaus Mueller,critical,0.85,3.1,1.1
10,08:06,0,Isabella Rodriguez,medium,0.3,6.0,4.4
10,08:06,1,Klaus Mueller,critical,0.85,3.2,1.2
11,08:07,0,Isabella Rodriguez,medium,0.3,6.0,3.9
11,08:07,1,Klaus Mueller,critical,0.85,3.2,1.3
12,08:08,0,Isabella Rodriguez,high,0.45,4.9,3.9
12,08:08,1,Klaus Mueller,critical,0.85,2.8,1.3
13,08:08,0,Isabella Rodriguez,high,0.45,4.0,3.9
13,08:08,1,Klaus Mueller,critical,0.85,2.8,1.3
14,08:09,0,Isabella Rodriguez,high,0.55,4.0,2.9
14,08:09,1,Klaus Mueller,critical,1.0,1.4,1.3
15,08:10,0,Isabella Rodriguez,high,0.55,4.0,2.9
15,08:10,1,Klaus Mueller,critical,1.0,1.4,0.2
16,08:10,0,Isabella Rodriguez,high,0.55,4.0,2.9
16,08:10,1,Klaus Mueller,critical,1.0,1.4,0.2
17,08:11,0,Isabella Rodriguez,high,0.55,4.0,2.9
17,08:11,1,Klaus Mueller,critical,1.0,1.4,0.2
18,08:12,0,Isabella Rodriguez,high,0.55,3.5,2.9
18,08:12,1,Klaus Mueller,critical,1.0,1.4,0.2
19,08:12,0,Isabella Rodriguez,high,0.65,3.1,2.2
19,08:12,1,Klaus Mueller,critical,1.0,1.4,0.2
20,08:13,0,Isabella Rodriguez,high,0.65,3.1,1.9
20,08:13,1,Klaus Mueller,critical,1.0,1.4,0.2
21,08:14,0,Isabella Rodriguez,high,0.65,3.1,1.9
21,08:14,1,Klaus Mueller,critical,1.0,1.4,0.2
22,08:14,0,Isabella Rodriguez,high,0.65,3.2,2.0
22,08:14,1,Klaus Mueller,critical,1.0,1.4,0.2
23,08:15,0,Isabella Rodriguez,high,0.65,3.3,2.2
23,08:15,1,Klaus Mueller,critical,1.0,1.4,0.2
24,08:16,0,Isabella Rodriguez,high,0.65,3.4,1.4
24,08:16,1,Klaus Mueller,critical,1.0,1.4,0.2
25,08:16,0,Isabella Rodriguez,critical,0.85,2.6,1.6
25,08:16,1,Klaus Mueller,critical,1.0,1.4,0.2
26,08:17,0,Isabella Rodriguez,critical,0.85,2.7,1.7
26,08:17,1,Klaus Mueller,critical,1.0,1.4,0.2
27,08:18,0,Isabella Rodriguez,critical,0.85,2.8,1.8
27,08:18,1,Klaus Mueller,critical,1.0,1.4,0.2
28,08:18,0,Isabella Rodriguez,critical,0.85,2.9,0.8
28,08:18,1,Klaus Mueller,critical,1.0,1.1,0.2
29,08:19,0,Isabella Rodriguez,critical,0.85,2.9,0.8
30,08:20,0,Isabella Rodriguez,critical,0.85,3.0,0.9
31,08:20,0,Isabella Rodriguez,critical,0.85,3.1,1.1
32,08:21,0,Isabella Rodriguez,critical,0.85,3.2,1.2
33,08:22,0,Isabella Rodriguez,critical,0.85,3.3,1.4
