time_step,clock_time,agent_id,agent_name,urgency_level,urgency_score,nearest_fire,nearest_smoke
0,08:00,0,Isabella Rodriguez,low,0.15,5.2,inf
0,08:00,1,Klaus Mueller,low,0.15,6.6,inf
1,08:00,0,Isabella Rodriguez,low,0.2,5.3,inf
1,08:00,1,Klaus Mueller,low,0.15,6.7,inf
2,08:01,0,Isabella Rodriguez,low,0.2,5.3,inf
2,08:01,1,Klaus Mueller,low,0.15,6.8,inf
3,08:02,0,Isabella Rodriguez,low,0.2,5.3,inf
3,08:02,1,Klaus Mueller,low,0.15,6.8,inf
4,08:02,0,Isabella Rodriguez,medium,0.3,5.4,6.2
4,08:02,1,Klaus Mueller,medium,0.25,6.8,7.1
5,08:03,0,Isabella Rodriguez,medium,0.3,5.6,6.4
5,08:03,1,Klaus Mueller,medium,0.25,6.9,7.2
6,08:04,0,Isabella Rodriguez,medium,0.3,5.7,6.5
6,08:04,1,Klaus Mueller,medium,0.25,7.0,7.3
7,08:04,0,Isabella Rodriguez,medium,0.3,5.8,6.7
7,08:04,1,Klaus Mueller,medium,0.25,7.1,7.5
8,08:05,0,Isabella Rodriguez,medium,0.3,6.0,6.8
8,08:05,1,Klaus Mueller,medium,0.25,7.1,7.6
9,08:06,0,Isabella Rodriguez,medium,0.3,6.1,7.0
9,08:06,1,Klaus Mueller,medium,0.25,7.2,7.7
10,08:06,0,Isabella Rodriguez,medium,0.3,6.2,7.1
10,08:06,1,Klaus Mueller,medium,0.25,7.3,7.8
11,08:07,0,Isabella Rodriguez,medium,0.3,6.4,7.2
11,08:07,1,Klaus Mueller,medium,0.25,7.4,7.9
12,08:08,0,Isabella Rodriguez,medium,0.3,6.5,6.0
12,08:08,1,Klaus Mueller,medium,0.25,7.5,6.9
13,08:08,0,Isabella Rodriguez,medium,0.3,6.7,6.1
13,08:08,1,Klaus Mueller,medium,0.25,7.6,7.0
14,08:09,0,Isabella Rodriguez,medium,0.3,6.8,6.3
14,08:09,1,Klaus Mueller,medium,0.25,7.7,7.1
15,08:10,0,Isabella Rodriguez,medium,0.3,6.9,6.4
15,08:10,1,Klaus Mueller,medium,0.25,7.8,7.2
16,08:10,0,Isabella Rodriguez,medium,0.3,7.1,6.6
16,08:10,1,Klaus Mueller,medium,0.25,7.9,7.3
17,08:11,0,Isabella Rodriguez,medium,0.3,7.2,6.7
17,08:11,1,Klaus Mueller,medium,0.25,8.0,7.4
18,08:12,0,Isabella Rodriguez,medium,0.3,7.3,6.8
18,08:12,1,Klaus Mueller,medium,0.25,8.1,7.5
19,08:12,0,Isabella Rodriguez,medium,0.3,7.5,7.0
19,08:12,1,Klaus Mueller,medium,0.25,8.2,7.6
20,08:13,0,Isabella Rodriguez,medium,0.3,7.6,7.1
20,08:13,1,Klaus Mueller,medium,0.25,8.3,7.7
21,08:14,0,Isabella Rodriguez,medium,0.3,7.8,7.3
21,08:14,1,Klaus Mueller,medium,0.25,8.4,7.8
22,08:14,0,Isabella Rodriguez,medium,0.3,7.9,7.4
22,08:14,1,Klaus Mueller,medium,0.25,8.5,7.9
23,08:15,0,Isabella Rodriguez,medium,0.3,8.1,7.6
23,08:15,1,Klaus Mueller,low,0.15,8.6,8.0
24,08:16,0,Isabella Rodriguez,medium,0.3,8.2,7.7
24,08:16,1,Klaus Mueller,low,0.15,8.7,8.2
25,08:16,0,Isabella Rodriguez,medium,0.3,8.3,7.9
25,08:16,1,Klaus Mueller,low,0.15,8.8,8.3
26,08:17,0,Isabella Rodriguez,low,0.2,8.5,8.0
26,08:17,1,Klaus Mueller,low,0.15,8.9,8.4
27,08:18,0,Isabella Rodriguez,low,0.2,8.6,8.1
27,08:18,1,Klaus Mueller,low,0.15,9.0,8.5
28,08:18,0,Isabella Rodriguez,low,0.2,8.8,8.3
28,08:18,1,Klaus Mueller,low,0.15,9.1,8.6
29,08:19,0,Isabella Rodriguez,medium,0.3,6.6,6.3
29,08:19,1,Klaus Mueller,medium,0.25,7.0,6.7
30,08:20,0,Isabella Rodriguez,medium,0.3,6.8,6.4
30,08:20,1,Klaus Mueller,medium,0.25,7.1,6.7
31,08:20,0,Isabella Rodriguez,medium,0.3,6.9,6.5
31,08:20,1,Klaus Mueller,medium,0.25,7.2,6.8
32,08:21,0,Isabella Rodriguez,medium,0.3,7.1,6.7
32,08:21,1,Klaus Mueller,medium,0.25,7.3,6.9
33,08:22,0,Isabella Rodriguez,medium,0.3,7.2,6.8
33,08:22,1,Klaus Mueller,medium,0.25,7.4,7.0
34,08:22,0,Isabella Rodriguez,medium,0.3,7.3,6.9
34,08:22,1,Klaus Mueller,medium,0.25,7.5,7.1
35,08:23,0,Isabella Rodriguez,medium,0.3,7.5,7.1
35,08:23,1,Klaus Mueller,medium,0.25,7.6,7.2
36,08:24,0,Isabella Rodriguez,medium,0.3,7.6,7.2
36,08:24,1,Klaus Mueller,medium,0.25,7.7,7.3
37,08:24,0,Isabella Rodriguez,medium,0.3,7.8,7.3
37,08:24,1,Klaus Mueller,medium,0.25,7.9,7.4
38,08:25,0,Isabella Rodriguez,medium,0.3,7.9,7.5
38,08:25,1,Klaus Mueller,medium,0.25,7.9,7.4
39,08:26,0,Isabella Rodriguez,medium,0.3,8.0,7.6
39,08:26,1,Klaus Mueller,medium,0.25,8.0,7.6
