time_step,clock_time,agent_id,agent_name,urgency_level,urgency_score,nearest_fire,nearest_smoke
0,08:00,0,Isabella Rodriguez,medium,0.25,7.0,7.4
0,08:00,1,Klaus Mueller,high,0.5,4.0,2.9
1,08:00,0,Isabella Rodriguez,medium,0.25,7.2,5.8
1,08:00,1,Klaus Mueller,high,0.65,4.0,2.9
2,08:01,0,Isabella Rodriguez,medium,0.25,7.3,5.9
2,08:01,1,Klaus Mueller,high,0.65,4.0,2.9
3,08:02,0,Isabella Rodriguez,medium,0.25,7.5,6.1
3,08:02,1,Klaus Mueller,high,0.65,4.0,2.9
4,08:02,0,Isabella Rodriguez,medium,0.25,7.6,6.2
4,08:02,1,Klaus Mueller,high,0.65,4.0,2.9
5,08:03,0,Isabella Rodriguez,medium,0.25,7.8,6.4
5,08:03,1,Klaus Mueller,high,0.65,4.0,2.9
6,08:04,1,Klaus Mueller,high,0.65,4.0,2.9
7,08:04,1,Klaus Mueller,high,0.65,4.0,2.9
8,08:05,1,Klaus Mueller,high,0.55,4.2,3.0
9,08:06,1,Klaus Mueller,high,0.55,4.3,3.2
10,08:06,1,Klaus Mueller,high,0.55,4.5,3.3
11,08:07,1,Klaus Mueller,high,0.55,4.6,3.1
12,08:08,1,Klaus Mueller,high,0.55,4.6,3.1
13,08:08,1,Klaus Mueller,high,0.55,4.7,3.2
14,08:09,1,Klaus Mueller,high,0.65,4.9,2.8
15,08:10,1,Klaus Mueller,high,0.65,4.9,3.0
16,08:10,1,Klaus Mueller,high,0.65,4.2,3.0
17,08:11,1,Klaus Mueller,high,0.65,4.2,3.0
18,08:12,1,Klaus Mueller,high,0.65,4.1,3.0
19,08:12,1,Klaus Mueller,critical,0.85,3.5,2.7
20,08:13,1,Klaus Mueller,critical,0.85,3.5,2.2
21,08:14,1,Klaus Mueller,critical,0.85,3.1,2.2
22,08:14,1,Klaus Mueller,critical,0.85,3.1,2.1
23,08:15,1,Klaus Mueller,critical,0.85,2.7,2.1
24,08:16,1,Klaus Mueller,critical,0.85,2.2,1.3
25,08:16,1,Klaus Mueller,critical,0.85,2.2,1.1
26,08:17,1,Klaus Mueller,critical,0.85,2.1,1.1
27,08:18,1,Klaus Mueller,critical,0.85,2.1,1.1
28,08:18,1,Klaus Mueller,critical,0.85,2.1,1.1
29,08:19,1,Klaus Mueller,critical,0.85,2.1,1.1
30,08:20,1,Klaus Mueller,critical,0.85,2.1,0.4
31,08:20,1,Klaus Mueller,critical,0.85,2.0,0.4
32,08:21,1,Klaus Mueller,critical,0.85,2.0,0.4
33,08:22,1,Klaus Mueller,critical,0.85,2.0,0.4
34,08:22,1,Klaus Mueller,critical,0.85,2.0,0.4
35,08:23,1,Klaus Mueller,critical,0.85,2.0,0.4
36,08:24,1,Klaus Mueller,critical,0.85,2.0,0.4
37,08:24,1,Klaus Mueller,critical,1.0,1.7,0.4
38,08:25,1,Klaus Mueller,critical,1.0,1.7,0.4
39,08:26,1,Klaus Mueller,critical,1.0,1.3,0.4
40,08:26,1,Klaus Mueller,critical,1.0,1.1,0.4
