time_step,clock_time,agent_id,agent_name,urgency_level,urgency_score,nearest_fire,nearest_smoke
0,08:00,0,Isabella Rodriguez,medium,0.4,3.8,3.4
0,08:00,1,Klaus Mueller,high,0.5,3.5,2.9
1,08:00,0,Isabella Rodriguez,high,0.55,3.8,2.8
1,08:00,1,Klaus Mueller,high,0.55,3.5,2.5
2,08:01,0,Isabella Rodriguez,high,0.55,2.8,2.8
2,08:01,1,Klaus Mueller,high,0.55,3.5,2.5
3,08:02,0,Isabella Rodriguez,critical,0.75,1.8,1.8
3,08:02,1,Klaus Mueller,high,0.55,3.5,2.5
4,08:02,0,Isabella Rodriguez,critical,0.85,1.8,0.8
4,08:02,1,Klaus Mueller,high,0.65,3.5,2.1
5,08:03,0,Isabella Rodriguez,critical,0.85,1.8,0.9
5,08:03,1,Klaus Mueller,high,0.65,2.8,2.0
6,08:04,0,Isabella Rodriguez,critical,1.0,1.8,0.9
6,08:04,1,Klaus Mueller,high,0.65,2.6,1.3
7,08:04,0,Isabella Rodriguez,critical,1.0,1.8,0.6
7,08:04,1,Klaus Mueller,critical,1.0,1.7,1.1
8,08:05,0,Isabella Rodriguez,critical,1.0,1.9,0.7
8,08:05,1,Klaus Mueller,critical,1.0,1.6,0.4
9,08:06,0,Isabella Rodriguez,critical,1.0,0.9,0.9
9,08:06,1,Klaus Mueller,critical,1.0,0.8,0.4
